website,item_title,price,image_url,product_url,date
bestprice,Pokemon TCG - Battle Academy 2024 (POK855962),"35,51€",https://bbpcdn.pstatic.gr/bpimg59/c7KUH/1TNhgG_SX250Y250/1740575766/pokemon-tcg-battle-academy-2024.webp,"https://www.bestprice.gr/to/179164667/pokemon-tcg-battle-academy-2024.html?qid=9K0xxdIuaMI_ccea5&seq=1&qo=pokemon+tcg&from=search&ct=2ayo4Q-3V8kIT-dNrVL,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Σετ καρτών μάχης League Battle Deck Dragapult ex,"60,65€",https://bbpcdn.pstatic.gr/bpimg11/cqR4f/1Uc2XS_SX250Y250/1746478984/pokemon-tcg-set-kartwn-maxhs-league-battle-deck-dragapult-ex.webp,"https://www.bestprice.gr/to/183716555/pokemon-tcg-set-karton-machis-league-battle-deck-dragapult-ex.html?qid=9K0xxdIuaMI_ccea5&seq=2&qo=pokemon+tcg&from=search&ct=xcpa5-2k7qeU-eawmz,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Back to School Pencil Case (2023) - Κασετίνα με 2 Booster Pack 210-85292,"11,80€",https://bbpcdn.pstatic.gr/bpimg45/bn7xr/1T2sFL_SX250Y250/1729418189/pokemon-tcg-back-to-school-pencil-case-kasetina-me-2-booster-pack-210-85292.webp,"https://www.bestprice.gr/to/168050221/pokemon-tcg-back-to-school-pencil-case-kasetina-me-2-booster-pack-210-85292.html?qid=9K0xxdIuaMI_ccea5&seq=3&qo=pokemon+tcg&from=search&ct=5trxzd-1HJUqe-cW0B1,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Battle Decks - VictiniEX MiraidonEX (Random) (POK867545),"18,90€",https://bbpcdn.pstatic.gr/bpimg0/bOEHm/1Tvs4t_SX250Y250/1736327389/pokemon-tcg-battle-decks-victiniex-miraidonex.webp,"https://www.bestprice.gr/to/174612544/pokemon-tcg-battle-decks-victiniex-miraidonex.html?qid=9K0xxdIuaMI_ccea5&seq=4&qo=pokemon+tcg&from=search&ct=N7PuN-2zkHG9-dsnt4,gcpEtUFezKM",25/08/2025
bestprice,POKEMON TCG: POKE BALL TIN 2024 (ΤΥΧΑΙΑ ΕΠΙΛΟΓΗ) - POK858840,"18,41€",https://bbpcdn.pstatic.gr/bpimg5/bUDit/1TSbDz_SX250Y250/1741745761/pokemon-tcg-poke-ball-tin-2024-pok858840.webp,"https://www.bestprice.gr/to/176037125/pokemon-tcg-poke-ball-tin-2024-pok858840.html?qid=9K0xxdIuaMI_ccea5&seq=5&qo=pokemon+tcg&from=search&ct=49mCcd-ohXCi-dyXc5,gcpEtUFezKM",25/08/2025
bestprice,POKEMON TCG: BACK TO SCHOOL ERASER BLISTER 2023 - POK852497,"13,00€",https://bbpcdn.pstatic.gr/bpimg46/d7sPc/1UM5lw_SX250Y250/1755067946/pokemon-tcg-back-to-school-eraser-blister-2023-pok852497.webp,"https://www.bestprice.gr/to/193871470/pokemon-tcg-back-to-school-eraser-blister-2023-pok852497.html?qid=9K0xxdIuaMI_ccea5&seq=6&qo=pokemon+tcg&from=search&ct=1sEm3r-3gmnUR-eVxba,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG: Holiday Calendar 2024 (POK858291),"58,00€",https://bbpcdn.pstatic.gr/bpimg38/d3C2q/1UHred_SX250Y250/1753960421/pokemon-tcg-holiday-calendar-2024.webp,"https://www.bestprice.gr/to/192953574/pokemon-tcg-holiday-calendar-2024.html?qid=9K0xxdIuaMI_ccea5&seq=7&qo=pokemon+tcg&from=search&ct=4EnI8s-UBozm-eRicS,gcpEtUFezKM",25/08/2025
bestprice,Pokemon Tcg: 2024 World Championship Deck (Pok101661),"27,00€",https://bbpcdn.pstatic.gr/bpimg29/d8XSd/1UP5to_SX250Y250/1755783418/pokemon-tcg-2024-world-championship-deck.webp,"https://www.bestprice.gr/to/194229149/pokemon-tcg-2024-world-championship-deck.html?qid=9K0xxdIuaMI_ccea5&seq=8&qo=pokemon+tcg&from=search&ct=1Jr793-3xaMnM-eXcwt,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - 2024 Premier Ball Tin,"18,90€",https://bbpcdn.pstatic.gr/bpimg27/cGmdJ/1Um1RA_SX250Y250/1748858030/pokemon-tcg-2024-premier-ball-tin.webp,"https://www.bestprice.gr/to/187411227/pokemon-tcg-2024-premier-ball-tin.html?qid=9K0xxdIuaMI_ccea5&seq=9&qo=pokemon+tcg&from=search&ct=5qazUw-1FWAOX-erCEr,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG Battle Academy 2022,"27,99€",https://bbpcdn.pstatic.gr/bpimg51/cRWVB/1UuKB7_SX250Y250/1750936613/pokemon-tcg-battle-academy-2022.webp,"https://www.bestprice.gr/to/190173939/pokemon-tcg-battle-academy-2022.html?qid=9K0xxdIuaMI_ccea5&seq=10&qo=pokemon+tcg&from=search&ct=2839Tc-3Ts4H7-eEq5D,gcpEtUFezKM",25/08/2025
bestprice,Pokemon TCG - Cynthia's Garchomp ex Premium Collection,"52,69€",https://bbpcdn.pstatic.gr/bpimg53/cX6C1/1UzceL_SX250Y250/1751996171/pokemon-tcg-cynthias-garchomp-ex-premium-collection.webp,"https://www.bestprice.gr/to/191402805/pokemon-tcg-cynthias-garchomp-ex-premium-collection.html?qid=9K0xxdIuaMI_ccea5&seq=11&qo=pokemon+tcg&from=search&ct=27l2Bp-3SPCKq-eK7qJ,gcpEtUFezKM",25/08/2025
