game,card_title,unguided_price,psa9_price,psa10_price,date
Pokemon 1999 Topps Movie Evolution,Charizard #E6,$7.00,$40.25,$125.04,23/08/2025
Pokemon 1999 Topps Movie Evolution,Dragonite #E12,$4.80,$38.50,$67.27,23/08/2025
Pokemon 1999 Topps Movie Evolution,Blastoise #E9,$1.94,$34.25,$66.43,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charmeleon #E5,$3.09,$20.50,$69.74,23/08/2025
Pokemon 1999 Topps Movie Evolution,Squirtle #E7,$5.32,$33.21,$182.27,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charizard [Rainbow Foil] #E6,$65.81,"$1,499.00",,23/08/2025
Pokemon 1999 Topps Movie Evolution,Venusaur #E3,$3.25,$29.00,$55.25,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charmander #E4,$3.51,$31.00,$47.90,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charizard [Foil] #E6,$15.22,$66.07,"$1,950.00",23/08/2025
Pokemon 1999 Topps Movie Evolution,Bulbasaur #E1,$2.76,$20.61,$56.00,23/08/2025
Pokemon 1999 Topps Movie Evolution,Wartortle #E8,$2.67,$22.94,$54.68,23/08/2025
Pokemon 1999 Topps Movie Evolution,Ivysaur #E2,$4.25,$29.00,$48.09,23/08/2025
Pokemon 1999 Topps Movie Evolution,Dratini #E10,$2.08,$33.00,$40.00,23/08/2025
Pokemon 1999 Topps Movie Evolution,Dragonair #E11,$1.63,$22.00,$65.19,23/08/2025
Pokemon 1999 Topps Movie Evolution,Dragonite [Foil] #E12,$18.00,$49.00,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charmeleon [Foil] #E5,$18.00,$36.35,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Dragonite [Rainbow Foil] #E12,$39.50,,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charmander [Foil] #E4,$3.25,,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charmander [Rainbow Foil] #E4,$23.50,$126.20,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charmeleon [Rainbow Foil] #E5,$30.34,$51.00,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Venusaur [Rainbow Foil] #E3,$40.00,$19.95,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Blastoise [Foil] #E9,$7.48,$41.00,$202.50,23/08/2025
Pokemon 1999 Topps Movie Evolution,Dragonair [Rainbow Foil] #E11,$22.86,,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Bulbasaur [Rainbow Foil] #E1,$21.50,$92.00,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Venusaur [Foil] #E3,$7.99,$54.00,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Bulbasaur [Foil] #E1,$8.24,$28.39,$210.00,23/08/2025
Pokemon 1999 Topps Movie Evolution,Dratini [Rainbow Foil] #E10,$6.50,,$495.00,23/08/2025
Pokemon 1999 Topps Movie Evolution,Charmeleon [Die Cut] #E5,$13.28,,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Squirtle [Foil] #E7,$5.96,$26.02,$66.00,23/08/2025
Pokemon 1999 Topps Movie Evolution,Squirtle [Rainbow Foil] #E7,$23.50,$100.69,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Wartortle [Foil] #E8,$2.74,,,23/08/2025
Pokemon 1999 Topps Movie Evolution,Dratini [Foil] #E10,$1.99,$29.00,,23/08/2025
