set_name,item_title,raw_price,image_url
Pokemon 2020 Battle Academy,Battle Academy Box,$36.00,https://storage.googleapis.com/images.pricecharting.com/wwrcwl2pwf4yb5za/60.jpg
Pokemon 1999 Topps Movie Evolution,Dratini #E10,$2.08,https://storage.googleapis.com/images.pricecharting.com/0aac0911ccfb2f3e74602fed812dac9b5b0fb5efa57bf46b1fd013c31fe5c10b/60.jpg
Pokemon 1999 Topps Movie Evolution,Dratini [Rainbow Foil] #E10,$6.50,https://storage.googleapis.com/images.pricecharting.com/2b7e367bb1cc2849f7d8b92ea6f5505d2b92c32cd6f1ac5adaa1e0e1cc5b3b29/60.jpg
Pokemon 1999 Topps Movie Evolution,Dratini [Foil] #E10,$1.99,https://storage.googleapis.com/images.pricecharting.com/e274e0eaee283e21cb7984157477301d54c8a9f68e51b8cfb66ee2ba80d8486e/60.jpg
Pokemon 1999 Topps Movie,Booster Box,"$1,525.00",https://storage.googleapis.com/images.pricecharting.com/d8bdd489ecb57e888230582929e1b2e63fc6822fa56cdbe35a086b6c29fb2900/60.jpg
Pokemon 1999 Topps Movie,First Movie Booster Pack,$44.50,https://storage.googleapis.com/images.pricecharting.com/corrlaqgdbrbb5kwhv7y/60.jpg
Pokemon 1999 Topps Movie,Booster Box [Black Logo],$701.68,https://storage.googleapis.com/images.pricecharting.com/rhm6xvmc7urqc24h/60.jpg
Pokemon Ancient Origins,Giratina EX #93,$75.00,https://storage.googleapis.com/images.pricecharting.com/76b1ff100a45403e7fc88f2461ac55b5414f6c79d545b8f6bac26557e4a30e2e/60.jpg
Pokemon Ancient Origins,Booster Pack,$103.89,https://storage.googleapis.com/images.pricecharting.com/81a0d64ea3531356663f50582fc4eb1bdcecb4a86212899479d16bb343ef2c5f/60.jpg
Pokemon Ancient Origins,Booster Box,"$4,733.38",https://storage.googleapis.com/images.pricecharting.com/bbe3d5d8cbbf05a3dd7c204ce7e57ec31858d731cb174e5ee19b7d161517fac6/60.jpg
Pokemon Ancient Origins,Giratina EX #57,$11.04,https://storage.googleapis.com/images.pricecharting.com/086b5c01b7d2505e4579fa8b36f27f676c16138af244ff7a69420262c96de612/60.jpg
Pokemon Ancient Origins,Elite Trainer Box,"$1,804.78",https://storage.googleapis.com/images.pricecharting.com/1338b6b7ab09f60dca55dfbf635c4bbe274805797afdf6f51507cd99add3d99c/60.jpg
Pokemon Arceus,Booster Pack,$86.04,https://storage.googleapis.com/images.pricecharting.com/68644810ff53bd6754f7593658205dd5df1e398e9f262afbe9adbd76b6de5a76/60.jpg
Pokemon Arceus,Booster Box,"$2,903.93",https://storage.googleapis.com/images.pricecharting.com/9bbb2cd146ff0298345d959ea3d5d73ae880ffdd1a8664ff69969a76ef12e010/60.jpg
Pokemon Arceus,Blister Pack,$169.50,https://storage.googleapis.com/images.pricecharting.com/c3244b95fad925f89f9e491ad370ec7bde5fb1e7366df9c864284faeb3b88ab0/60.jpg
Pokemon Astral Radiance,Elite Trainer Box,$83.05,https://storage.googleapis.com/images.pricecharting.com/0dc875fbf72bf79b8c7712e90183321bb69c731c084cb178734a23d3918a1a62/60.jpg
Pokemon Astral Radiance,Booster Pack,$10.46,https://storage.googleapis.com/images.pricecharting.com/39a60b44cfac5310f277e7c8545f3eeeb12ff571822083e1dd06b252ec45f513/60.jpg
Pokemon Astral Radiance,Booster Box,$380.00,https://storage.googleapis.com/images.pricecharting.com/ejqpzdttnyk2y6wf/60.jpg
Pokemon 2000 Topps Tv,Dratini #147,$9.21,https://storage.googleapis.com/images.pricecharting.com/74319d706bc9db362db441c2461795055992f367f582ff506b8154d331818f37/60.jpg
Pokemon 2000 Topps Tv,Charizard [Tin Topper] #5,$20.00,https://storage.googleapis.com/images.pricecharting.com/ref5bb8ba77ee7f823557bd5f064040561bec3fb6d0916e638e0bf0a91db40e592c/60.jpg
Pokemon 2000 Topps Tv,Booster Box [Series 2],"$1,400.00",https://storage.googleapis.com/images.pricecharting.com/tczvpx26hv7vdxr4/60.jpg
Pokemon 2000 Topps Tv,Booster Pack [Series 3],$130.57,https://storage.googleapis.com/images.pricecharting.com/jczd2qarg4mgc4ks/60.jpg
Pokemon 2000 Topps Tv,Booster Box [Series 3],"$5,400.00",https://storage.googleapis.com/images.pricecharting.com/v3g3t6pqcus2sxay/60.jpg
Pokemon 2000 Topps Tv,Flying Pikachu [Tin Topper] #4,$22.50,https://storage.googleapis.com/images.pricecharting.com/65s4o7rdpwmvzyxe/60.jpg
Pokemon 2000 Topps Tv,Team Rocket [Tin Topper] #3,$22.50,https://storage.googleapis.com/images.pricecharting.com/ref132ab1aad31745428fd93d5b4c8d0ec54f91ed1de6c2f1659dfe7224b40dfe0b/60.jpg
Pokemon 2000 Topps Tv,Ash [Tin Topper] #2,$22.19,https://storage.googleapis.com/images.pricecharting.com/bbf5dad9e908a3f9818fa9c5f76e1a4eae26a107320173ecaca790f00909206d/60.jpg
Pokemon 2000 Topps Tv,Pikachu [Tin Topper] #1,$20.50,https://storage.googleapis.com/images.pricecharting.com/ref25fac4b05b053eac83744cecc66f4b772f0411ac8586539b45f9007b5d8b2895/60.jpg
Pokemon 2000 Topps Tv,Dratini [Foil] #147,$17.76,https://storage.googleapis.com/images.pricecharting.com/a3081f987015b37913dfbdc66316123116d8fe4b4c7db56673eb9ceff6b54122/60.jpg
Pokemon 2000 Topps Tv,Dratini [Rainbow Foil] #147,,https://storage.googleapis.com/images.pricecharting.com/corrgaqev7wzbedm3x7x/60.jpg
Pokemon 1999 Topps Tv,Booster Box,"$1,999.95",https://storage.googleapis.com/images.pricecharting.com/12bb36f5fbcea43f396feabe712d4d81fc7c4fb1968f2b5cb44e372502001ad2/60.jpg
Pokemon 1999 Topps Tv,Booster Pack [Series 2],$66.29,https://storage.googleapis.com/images.pricecharting.com/g77k3q5e3kmodlpu/60.jpg
Pokemon 1999 Topps Tv,Booster Pack Series 1 Blue Logo,$118.44,https://storage.googleapis.com/images.pricecharting.com/6uajy4pv6yerybho/60.jpg
Pokemon 1999 Topps Tv,Meowth [Tin Topper] #5,$32.48,https://storage.googleapis.com/images.pricecharting.com/hko665nsna4xclwj/60.jpg
Pokemon 1999 Topps Tv,Squirtle [Tin Topper] #2,$31.07,https://storage.googleapis.com/images.pricecharting.com/pzdi5pvtlmaeaumr/60.jpg
Pokemon 1999 Topps Tv,Charmander [Tin Topper] #4,$29.99,https://storage.googleapis.com/images.pricecharting.com/ehe6nobj2rdkjqtk/60.jpg
Pokemon 1999 Topps Tv,Bulbasaur [Tin Topper] #3,$15.99,https://storage.googleapis.com/images.pricecharting.com/4f56oks6ogetlufb/60.jpg
Pokemon 1999 Topps Tv,Squirtle [Tin Topper] #7,$14.63,https://storage.googleapis.com/images.pricecharting.com/n4kwilauxdaktsil/60.jpg
Pokemon 1999 Topps Tv,Pikachu [Tin Topper] #1,,https://storage.googleapis.com/images.pricecharting.com/r4hksqqvshekljy3/60.jpg
Pokemon Base Set,Booster Box [1st Edition],"$193,750.00",https://storage.googleapis.com/images.pricecharting.com/91749045dc974aaeaf9943a17290bb3affadda4fd4e245c1dc58f3de87a9fb10/60.jpg
